//
//
//
// 게임종류 : 색상게임 = hue, 명도게임 = value, 채도게임 = chroma, 색감게임 = fit
// 데이터의 종류 : 
//    * answerArr = 정답의 색상과 순서.
//    * givenArr  = 주어질 색상과 위치. 빈칸은 "xxxxxx" 로 채워주세요.
//    * timeLimit = 꼭 "##sec" 형식으로 작성해주세요.
//
//////////////////////////색상테스트//////////////////////////
// 첫번째 색상부터 3시방향에서 시계방향으로 채워집니다.
//
// 다른 테스트와 형식이 다름으로 인해 데이터의 의미와 작성법이 다릅니다.
//   * answerArr = 첫 칸은 빈칸입니다. 그 다음 주어질 색상을 작성합니다. 여기에 정답색상도 포함됩니다.
//   * givenArr  = 첫 칸이 정답색상 입니다. 그 다음 주어질 색상의 수만큼 빈칸을 작성합니다.
// 주어지는 색상은 2, 3, 4, 6, 8, 9개까지 가능합니다.
//
fit   ,1  ,answerArr  ,xxxxxx,CEC62C,B0A347
fit   ,1  ,givenArr   ,CEC62C,xxxxxx,xxxxxx
fit   ,1  ,timeLimit  ,5sec
//
fit   ,2  ,answerArr  ,xxxxxx,717AC6,#658EAE
fit   ,2  ,givenArr   ,717AC6,xxxxxx,xxxxxx
fit   ,2  ,timeLimit  ,4sec
//
fit   ,3  ,answerArr  ,xxxxxx,DD7676,#DD8683
fit   ,3  ,givenArr   ,DD7676,xxxxxx,xxxxxx
fit   ,3  ,timeLimit  ,3sec
//
fit   ,4  ,answerArr  ,xxxxxx,DBB342,#D1B342
fit   ,4  ,givenArr   ,DBB342,xxxxxx,xxxxxx
fit   ,4  ,timeLimit  ,2sec
//
fit   ,5  ,answerArr  ,xxxxxx,3B833D,#3B933D
fit   ,5  ,givenArr   ,3B833D,xxxxxx,xxxxxx
fit   ,5  ,timeLimit  ,2sec
//
fit   ,6  ,answerArr  ,xxxxxx,CEDAFF,#CED3FF,#C5DAFF,#CEDEF7
fit   ,6  ,givenArr   ,CEDAFF,xxxxxx,xxxxxx,xxxxxx,xxxxxx
fit   ,6  ,timeLimit  ,5sec
//
fit   ,7  ,answerArr  ,xxxxxx,9A6D42,#9F6546,#A17B4A,#94663C
fit   ,7  ,givenArr   ,9A6D42,xxxxxx,xxxxxx,xxxxxx,xxxxxx
fit   ,7  ,timeLimit  ,5sec
//
fit   ,8  ,answerArr  ,xxxxxx,364D54,#2E454D,#3B4748,#424552
fit   ,8  ,givenArr   ,364D54,xxxxxx,xxxxxx,xxxxxx,xxxxxx
fit   ,8  ,timeLimit  ,4sec
//
fit   ,9  ,answerArr  ,xxxxxx,9B38A0,#A03DA5,#9B2DBF,#9A3DA5
fit   ,9  ,givenArr   ,9B38A0,xxxxxx,xxxxxx,xxxxxx,xxxxxx
fit   ,9  ,timeLimit  ,4sec
//
fit   ,10 ,answerArr  ,xxxxxx,FF43AF,#FF4DB9,#FF57AD,#FB3A9A
fit   ,10 ,givenArr   ,FF43AF,xxxxxx,xxxxxx,xxxxxx,xxxxxx
fit   ,10 ,timeLimit  ,3sec
//
//
////////////// 주의사항 //////////////
// 각 데이터는 무조건 ','만으로 구분됩니다.
// 띄어쓰기는 자유롭게 허용됩니다, tab("    ")은 사용할 수 없습니다.
// 앞에 '//'가 들어간 행은 읽지 않습니다.
// 색상코드는 샾(#)이 포함되어도 되며, 대소문자를 가리지 않습니다.
//
